Year,Obs Date,Weir Count Type,Maturity,Count
1983,9/1/1983,Counted live,Adult,9
1983,9/2/1983,Counted live,Adult,9
1983,9/3/1983,Counted live,Adult,11
1983,9/4/1983,Counted live,Adult,8
1983,9/5/1983,Counted live,Adult,7
1983,9/6/1983,Counted live,Adult,24
1983,9/7/1983,Counted live,Adult,22
1983,9/8/1983,Counted live,Adult,44
1983,9/9/1983,Counted live,Adult,37
1983,9/10/1983,Counted live,Adult,32
1983,9/11/1983,Counted live,Adult,26
1983,9/12/1983,Counted live,Adult,22
1983,9/13/1983,Counted live,Adult,28
1983,9/14/1983,Counted live,Adult,15
1983,9/15/1983,Counted live,Adult,28
1983,9/16/1983,Counted live,Adult,16
1983,9/17/1983,Counted live,Adult,19
1983,9/18/1983,Counted live,Adult,18
1983,9/19/1983,Counted live,Adult,12
1983,9/20/1983,Counted live,Adult,28
1983,9/21/1983,Counted live,Adult,36
1983,9/22/1983,Counted live,Adult,23
1983,9/23/1983,Counted live,Adult,11
1983,9/24/1983,Counted live,Adult,48
1983,9/25/1983,Counted live,Adult,74
1983,9/26/1983,Counted live,Adult,173
1983,9/27/1983,Counted live,Adult,80
1983,9/28/1983,Counted live,Adult,21
1983,9/29/1983,Counted live,Adult,16
1983,9/30/1983,Counted live,Adult,13
1983,10/1/1983,Counted live,Adult,11
1983,10/2/1983,Counted live,Adult,9
1983,10/3/1983,Counted live,Adult,23
1983,10/4/1983,Counted live,Adult,17
1983,10/5/1983,Counted live,Adult,5
1983,10/6/1983,Counted live,Adult,8
1983,10/7/1983,Counted live,Adult,6
1983,10/8/1983,Counted live,Adult,8
1983,10/9/1983,Counted live,Adult,7
1983,10/10/1983,Counted live,Adult,9
1983,10/11/1983,Counted live,Adult,13
1983,10/12/1983,Counted live,Adult,12
1983,10/13/1983,Counted live,Adult,10
1983,10/14/1983,Counted live,Adult,4
1983,10/15/1983,Counted live,Adult,8
1983,10/16/1983,Counted live,Adult,21
1983,10/17/1983,Counted live,Adult,4
1983,10/18/1983,Counted live,Adult,5
1983,10/19/1983,Counted live,Adult,30
1983,10/20/1983,Counted live,Adult,35
1983,10/21/1983,Counted live,Adult,5
1983,10/23/1983,Counted live,Adult,3
1983,10/24/1983,Counted live,Adult,3
1983,10/25/1983,Counted live,Adult,2
1983,10/26/1983,Counted live,Adult,3
1983,10/27/1983,Counted live,Adult,2
1983,10/29/1983,Counted live,Adult,1
1983,10/30/1983,Counted live,Adult,0
1983,11/1/1983,Counted live,Adult,5
1983,11/2/1983,Counted live,Adult,8
1983,11/3/1983,Counted live,Adult,1
1983,11/4/1983,Counted live,Adult,2
1983,11/5/1983,Counted live,Adult,0
1983,11/6/1983,Counted live,Adult,5
1983,11/7/1983,Counted live,Adult,1
1983,11/8/1983,Counted live,Adult,1
1983,11/9/1983,Counted live,Adult,6
1983,11/10/1983,Counted live,Adult,1
1983,11/11/1983,Counted live,Adult,5
1983,11/12/1983,Counted live,Adult,1
1983,11/13/1983,Counted live,Adult,1
1983,11/14/1983,Counted live,Adult,0
1983,11/15/1983,Counted live,Adult,3
1983,11/16/1983,Counted live,Adult,4
1983,11/17/1983,Counted live,Adult,2
1983,11/18/1983,Counted live,Adult,6
1983,11/19/1983,Counted live,Adult,13
1983,11/21/1983,Counted live,Adult,5
1983,11/22/1983,Counted live,Adult,4
1983,11/23/1983,Counted live,Adult,5
1983,11/24/1983,Counted live,Adult,0
1983,11/25/1983,Counted live,Adult,0
1983,11/26/1983,Counted live,Adult,0
1983,11/27/1983,Counted live,Adult,0
1983,11/28/1983,Counted live,Adult,0
1983,11/29/1983,Counted live,Adult,2
1983,11/30/1983,Counted live,Adult,0
1984,7/17/1984,Counted live,Adult,1
1984,7/23/1984,Counted live,Adult,1
1984,7/24/1984,Counted live,Adult,1
1984,7/28/1984,Counted live,Adult,1
1984,7/30/1984,Counted live,Adult,2
1984,7/31/1984,Counted live,Adult,2
1984,8/2/1984,Counted live,Adult,2
1984,8/8/1984,Counted live,Adult,3
1984,8/10/1984,Counted live,Adult,4
1984,8/11/1984,Counted live,Adult,2
1984,8/12/1984,Counted live,Adult,3
1984,8/13/1984,Counted live,Adult,4
1984,8/14/1984,Counted live,Adult,5
1984,8/15/1984,Counted live,Adult,4
1984,8/16/1984,Counted live,Adult,4
1984,8/17/1984,Counted live,Adult,2
1984,8/25/1984,Counted live,Adult,4
1984,8/26/1984,Counted live,Adult,24
1984,8/27/1984,Counted live,Adult,33
1984,8/28/1984,Counted live,Adult,6
1984,8/29/1984,Counted live,Adult,13
1984,8/30/1984,Counted live,Adult,19
1984,8/31/1984,Counted live,Adult,14
1984,9/1/1984,Counted live,Adult,31
1984,9/2/1984,Counted live,Adult,21
1984,9/3/1984,Counted live,Adult,29
1984,9/4/1984,Counted live,Adult,20
1984,9/5/1984,Counted live,Adult,13
1984,9/6/1984,Counted live,Adult,40
1984,9/7/1984,Counted live,Adult,56
1984,9/8/1984,Counted live,Adult,82
1984,9/9/1984,Counted live,Adult,41
1984,9/10/1984,Counted live,Adult,40
1984,9/11/1984,Counted live,Adult,25
1984,9/12/1984,Counted live,Adult,11
1984,9/13/1984,Counted live,Adult,20
1984,9/14/1984,Counted live,Adult,30
1984,9/15/1984,Counted live,Adult,28
1984,9/16/1984,Counted live,Adult,33
1984,9/17/1984,Counted live,Adult,20
1984,9/18/1984,Counted live,Adult,9
1984,9/19/1984,Counted live,Adult,6
1984,9/20/1984,Counted live,Adult,4
1984,9/21/1984,Counted live,Adult,8
1984,9/22/1984,Counted live,Adult,21
1984,9/23/1984,Counted live,Adult,23
1984,9/24/1984,Counted live,Adult,47
1984,9/25/1984,Counted live,Adult,27
1984,9/26/1984,Counted live,Adult,33
1984,9/27/1984,Counted live,Adult,29
1984,9/28/1984,Counted live,Adult,14
1984,9/29/1984,Counted live,Adult,18
1984,9/30/1984,Counted live,Adult,20
1984,10/1/1984,Counted live,Adult,10
1984,10/2/1984,Counted live,Adult,22
1984,10/3/1984,Counted live,Adult,20
1984,10/4/1984,Counted live,Adult,22
1984,10/5/1984,Counted live,Adult,4
1984,10/6/1984,Counted live,Adult,12
1984,10/7/1984,Counted live,Adult,3
1984,10/8/1984,Counted live,Adult,15
1984,10/9/1984,Counted live,Adult,1
1984,10/10/1984,Counted live,Adult,9
1984,10/11/1984,Counted live,Adult,3
1984,10/12/1984,Counted live,Adult,2
1984,10/13/1984,Counted live,Adult,3
1984,10/14/1984,Counted live,Adult,3
1984,10/15/1984,Counted live,Adult,2
1984,10/16/1984,Counted live,Adult,3
1984,10/17/1984,Counted live,Adult,5
1984,10/18/1984,Counted live,Adult,3
1984,10/19/1984,Counted live,Adult,33
1984,10/20/1984,Counted live,Adult,14
1984,10/21/1984,Counted live,Adult,2
1984,10/22/1984,Counted live,Adult,3
1984,10/23/1984,Counted live,Adult,2
1984,10/24/1984,Counted live,Adult,9
1984,10/25/1984,Counted live,Adult,9
1984,10/26/1984,Counted live,Adult,6
1984,10/27/1984,Counted live,Adult,1
1984,10/28/1984,Counted live,Adult,1
1984,11/2/1984,Counted live,Adult,10
1984,11/4/1984,Counted live,Adult,2
1984,11/5/1984,Counted live,Adult,1
1984,11/6/1984,Counted live,Adult,5
1984,11/8/1984,Counted live,Adult,1
1984,11/16/1984,Counted live,Adult,1
1984,11/19/1984,Counted live,Adult,3
1984,11/20/1984,Counted live,Adult,2
1984,11/21/1984,Counted live,Adult,2
1984,11/22/1984,Counted live,Adult,121
1984,11/23/1984,Counted live,Adult,79
1984,11/24/1984,Counted live,Adult,5
1984,11/25/1984,Counted live,Adult,1
