Note: This spreadsheet may include values that are preliminary or unreviewed.,,,,,,,
Activity Start Date,Activity Start Time,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Characteristic Name,Result Value,Result Unit
6/7/2016,12:10:00 PM,Bedrock Creek,65.55677,-145.09042,Turbidity,1.45,NTU
6/7/2016,12:10:00 PM,Bedrock Creek,65.55677,-145.09042,pH,2.16,None
6/7/2016,12:10:00 PM,Bedrock Creek,65.55677,-145.09042,Specific conductance,18,uS/cm
6/7/2016,12:10:00 PM,Bedrock Creek,65.55677,-145.09042,Dissolved oxygen (DO),14.3,mg/l
6/7/2016,12:10:00 PM,Bedrock Creek,65.55677,-145.09042,"Temperature, water",3.36,deg C
6/7/2016,2:00:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Turbidity,3.95,NTU
6/7/2016,2:00:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Total suspended solids,16.7,mg/l
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,Turbidity,3.1,NTU
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,Total suspended solids,5.11,mg/l
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,Dissolved oxygen (DO),13.95,mg/l
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,Specific conductance,81,uS/cm
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,pH,5.95,None
6/7/2016,2:15:00 PM,Mammoth Creek,65.55088,-145.17574,"Temperature, water",6.32,deg C
6/7/2016,3:05:00 PM,Bedrock Creek,65.55677,-145.09042,Total suspended solids,2.27,mg/l
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,Total suspended solids,2.42,mg/l
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,"Temperature, water",5.78,deg C
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,Turbidity,1.74,NTU
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,pH,4.05,None
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,Specific conductance,88,uS/cm
6/7/2016,3:05:00 PM,Bonanza Creek,65.55425,-145.32305,Dissolved oxygen (DO),14.87,mg/l
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Turbidity,3.82,NTU
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Dissolved oxygen (DO),13.74,mg/l
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,pH,3.22,None
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Total suspended solids,9.6,mg/l
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Specific conductance,88,uS/cm
6/7/2016,3:19:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,"Temperature, water",6.77,deg C
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,Turbidity,7.13,NTU
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,"Temperature, water",12.02,deg C
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,Total suspended solids,1.76,mg/l
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,pH,5.24,None
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,Specific conductance,165,uS/cm
6/21/2016,2:07:00 PM,Ketchem Creek,65.50849,-144.69472,Dissolved oxygen (DO),9.3,mg/l
6/21/2016,4:00:00 PM,Middle Ketchem Creek,65.48251,-144.74538,Turbidity,3.02,NTU
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,Dissolved oxygen (DO),11.3,mg/l
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,Total suspended solids,1.11,mg/l
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,pH,7.46,None
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,Turbidity,5.72,NTU
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,"Temperature, water",9.93,deg C
6/21/2016,4:24:00 PM,Deadwood Creek,65.53982,-144.76285,Specific conductance,2.15,uS/cm
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,"Temperature, water",10.91,deg C
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Total suspended solids,2.22,mg/l
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,3.21,NTU
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Specific conductance,132,uS/cm
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Dissolved oxygen (DO),11.52,mg/l
6/21/2016,5:11:00 PM,Crooked Creek at BLM,65.57363,-144.80286,pH,7.17,None
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,Dissolved oxygen (DO),12.51,mg/l
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,pH,7.26,None
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,Total suspended solids,2.33,mg/l
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,Specific conductance,126,uS/cm
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,Turbidity,11.4,NTU
6/22/2016,1:31:00 PM,Boulder Creek,65.56783,-144.88885,"Temperature, water",7.15,deg C
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,pH,4.49,None
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,"Temperature, water",7.29,deg C
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,Specific conductance,31,uS/cm
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,Turbidity,0.43,NTU
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,Dissolved oxygen (DO),11.83,mg/l
6/22/2016,3:42:00 PM,Bedrock Creek,65.55677,-145.09042,Total suspended solids,1.01,mg/l
