Year,River,Species,Escapement_Count,Count_Type
1991,Situk River,Coho Salmon,NA,NA
1992,Situk River,Coho Salmon,13820,Survey
1993,Situk River,Coho Salmon,10703,Survey
1994,Situk River,Coho Salmon,21960,Survey
1995,Situk River,Coho Salmon,NA,NA
1996,Situk River,Coho Salmon,NA,NA
1997,Situk River,Coho Salmon,9780,Survey
1998,Situk River,Coho Salmon,NA,NA
1999,Situk River,Coho Salmon,NA,NA
2000,Situk River,Coho Salmon,NA,NA
2001,Situk River,Coho Salmon,5030,Survey
2002,Situk River,Coho Salmon,40000,Survey
2003,Situk River,Coho Salmon,6009,Survey
2004,Situk River,Coho Salmon,10284,Survey
2005,Situk River,Coho Salmon,2514,Survey
2006,Situk River,Coho Salmon,7950,Survey
2007,Situk River,Coho Salmon,5763,Survey
2008,Situk River,Coho Salmon,NA,NA
2009,Situk River,Coho Salmon,5814,Survey
2010,Situk River,Coho Salmon,11195,Survey
2011,Situk River,Coho Salmon,3652,Survey
2012,Situk River,Coho Salmon,3007,Survey
2013,Situk River,Coho Salmon,14853,Survey
2014,Situk River,Coho Salmon,8226,Survey
2015,Situk River,Coho Salmon,7062,Survey
2016,Situk River,Coho Salmon,6177,Survey
2017,Situk River,Coho Salmon,4122,Survey
2018,Situk River,Coho Salmon,6198,Survey
2019,Situk River,Coho Salmon,10381,Survey
1972,Tsiu River,Coho Salmon,NA,NA
1973,Tsiu River,Coho Salmon,30000,Survey
1974,Tsiu River,Coho Salmon,15000,Survey
1975,Tsiu River,Coho Salmon,8150,Survey
1976,Tsiu River,Coho Salmon,30000,Survey
1977,Tsiu River,Coho Salmon,25000,Survey
1978,Tsiu River,Coho Salmon,40000,Survey
1979,Tsiu River,Coho Salmon,25000,Survey
1980,Tsiu River,Coho Salmon,18000,Survey
1981,Tsiu River,Coho Salmon,20000,Survey
1982,Tsiu River,Coho Salmon,40000,Survey
1983,Tsiu River,Coho Salmon,16500,Survey
1984,Tsiu River,Coho Salmon,30000,Survey
1985,Tsiu River,Coho Salmon,52350,Survey
1986,Tsiu River,Coho Salmon,14100,Survey
1987,Tsiu River,Coho Salmon,8500,Survey
1988,Tsiu River,Coho Salmon,16000,Survey
1989,Tsiu River,Coho Salmon,38000,Survey
1990,Tsiu River,Coho Salmon,16800,Survey
1991,Tsiu River,Coho Salmon,16600,Survey
1992,Tsiu River,Coho Salmon,30800,Survey
1993,Tsiu River,Coho Salmon,18500,Survey
1994,Tsiu River,Coho Salmon,55000,Survey
1995,Tsiu River,Coho Salmon,30000,Survey
1996,Tsiu River,Coho Salmon,19000,Survey
1997,Tsiu River,Coho Salmon,22000,Survey
1998,Tsiu River,Coho Salmon,12000,Survey
1999,Tsiu River,Coho Salmon,NA,NA
2000,Tsiu River,Coho Salmon,12000,Survey
2001,Tsiu River,Coho Salmon,17000,Survey
2002,Tsiu River,Coho Salmon,31000,Survey
2003,Tsiu River,Coho Salmon,35850,Survey
2004,Tsiu River,Coho Salmon,NA,NA
2005,Tsiu River,Coho Salmon,16600,Survey
2006,Tsiu River,Coho Salmon,14500,Survey
2007,Tsiu River,Coho Salmon,14000,Survey
2008,Tsiu River,Coho Salmon,25200,Survey
2009,Tsiu River,Coho Salmon,28000,Survey
2010,Tsiu River,Coho Salmon,11000,Survey
2011,Tsiu River,Coho Salmon,21000,Survey
2012,Tsiu River,Coho Salmon,10500,Survey
2013,Tsiu River,Coho Salmon,47000,Survey
2014,Tsiu River,Coho Salmon,27000,Survey
2015,Tsiu River,Coho Salmon,19500,Survey
2016,Tsiu River,Coho Salmon,31000,Survey
2017,Tsiu River,Coho Salmon,38000,Survey
2018,Tsiu River,Coho Salmon,24336,Survey
2019,Tsiu River,Coho Salmon,NA,NA
